tag	pass	dataset	conc	t_boot	launcher_md5	image	image_id	env_n	env_sha	keys_n	window	slots	cache	policy	power_limit_w	gpc_boot	mem_boot	gpc_after	mem_after	vram_free	mem_line
A-sharegpt-c1	A	sharegpt	1	2026-09-25T21:25:40+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
A-sharegpt-c2	A	sharegpt	2	2026-09-25T21:32:29+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
A-sharegpt-c4	A	sharegpt	4	2026-09-25T21:37:39+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
A-sharegpt-c8	A	sharegpt	8	2026-09-25T21:41:42+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
A-specbench-c1	A	specbench	1	2026-09-25T21:45:14+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
A-specbench-c2	A	specbench	2	2026-09-25T21:54:07+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
A-specbench-c4	A	specbench	4	2026-09-25T22:00:37+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
A-specbench-c8	A	specbench	8	2026-09-25T22:05:43+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
B-sharegpt-c1	B	sharegpt	1	2026-09-25T22:10:10+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
B-sharegpt-c2	B	sharegpt	2	2026-09-25T22:17:01+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
B-sharegpt-c4	B	sharegpt	4	2026-09-25T22:22:09+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
B-sharegpt-c8	B	sharegpt	8	2026-09-25T22:26:15+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
B-specbench-c1	B	specbench	1	2026-09-25T22:29:46+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
B-specbench-c2	B	specbench	2	2026-09-25T22:38:40+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
B-specbench-c4	B	specbench	4	2026-09-25T22:45:08+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
B-specbench-c8	B	specbench	8	2026-09-25T22:50:13+00:00	a8e88b1dba8181b701dce17893044cae	tabbyapi:stack-r3-rows32	sha256:abe93e1bc178	43	99eb435fdc7d	41	0	8	983040	[[4, 3], [8, 2]]	600 575	0 0	4500 4500	0 0	4500 4500	1125/1573/	memory clock offset: set +4500 on every GPU, readback 4500 4500
