i	sha	prompt_len	output_len
0	d9a4df257b5c4280	40	256
1	204b733c96dd740d	459	256
2	2151bfbf667e7fc8	22	256
3	75edcc74608f5335	35	256
4	946d8b77a841e6d8	53	256
5	853e23e6bffb2d8f	69	256
6	bf7d6764aba23b7b	22	256
7	4675981eb9711731	26	256
8	d13203d3f751f33d	10	256
9	3ad0ccafdde4eb4d	12	256
10	a4102d256fbf77be	37	256
11	bfa9789b68b0ecf4	57	256
12	a804e74366927868	777	256
13	da132fb1c70f166f	15	256
14	2d1ed9932f2ec563	149	256
15	5ef83d6fb2e2a626	36	256
16	ea2301d176729d15	32	256
17	21ce5a43c4d8d553	683	256
18	1cd22690491c288c	20	256
19	f15b1b1a99efdf5a	1179	256
20	dfd7ef9bd1177f6d	82	256
21	d3765ee3da2158c0	1030	256
22	e434f345916d58b3	32	256
23	a0ed6ce8632af2f2	26	256
24	3c9a97c9b44c743d	18	256
25	30fd5e0ab26ce892	97	256
26	45101a0f5057006a	206	256
27	c311d7ff26dc8d88	57	256
28	bfdb5245ded70819	53	256
29	d56192ab7a9f394d	736	256
30	c5a48cb1be73df27	10	256
31	f191f6a28c258f87	1393	256
32	3af5503ad498c930	107	256
33	074f86a20468d73b	653	256
34	38b98d58ceb6bd3f	10	256
35	9fdb5db0308336b7	744	256
36	d00fb9b486684a27	41	256
37	df59d06c5f488406	42	256
38	e018012be4e58b29	13	256
39	eff586038a54e1e6	1295	256
40	ed9c02cd9057f135	702	256
41	e902dabdfbd2c469	21	256
42	7e6b97a8126e0bfe	706	256
43	e44b88e8d80113cd	11	256
44	a04e630a179c5e51	19	256
45	034f7bf4e9b2cf71	19	256
46	830ec8097dce4581	689	256
47	6e3bf5d44c3a4644	65	256
48	714a421baf38d44a	20	256
49	1ac216e981ba1140	75	256
50	a677fa31efb6027a	10	256
51	54656983aea9e571	52	256
52	d7bc1cf054faa158	15	256
53	ebec0536420e36b8	624	256
54	cbd55cae5d22abdf	750	256
55	40ed33be75510871	940	256
56	62e7d275d25f8130	16	256
57	4f2e3989a9e6d16f	733	256
58	df18b2932dc6f634	210	256
59	e58604e8c093d0cf	637	256
60	ec74b4b30f8df2ac	650	256
61	da10b94b6bb71bf9	733	256
62	ca9083509bca1c1d	15	256
63	b1e8ce37600a4e46	672	256
64	b44f39878ca19fd0	362	256
65	bcf054f2a3892dc0	11	256
66	63660b65acc0c6dd	52	256
67	266354f2effc1813	614	256
68	c34ba975d836ca63	38	256
69	c1de5ca7fe92f892	9	256
70	af4b74ff360fb147	1303	256
71	0fc1c6665616603e	15	256
72	c475d155c7f791a8	1121	256
73	ac91b9859191ff87	13	256
74	a5ba7162a998aef7	48	256
75	2348751199bf6f36	58	256
76	0d7618544295abbf	60	256
77	fbe3eab8482a1c16	12	256
78	24734aead4b8d3cc	11	256
79	9645c677f98a50ee	742	256
80	0f16fc31ea1c929e	388	256
81	41bad794a2537ddb	13	256
82	5e24f86df2c2d18b	1268	256
83	fbb6349d97d3dcbc	743	256
84	48a4daa07d86262e	215	256
85	1e46fe3d2abb211c	248	256
86	4c4cd5142f9e0a63	21	256
87	30bc90e1c27ca8dd	12	256
88	0f47d4fdf92854ed	69	256
89	efffad665dd6bde3	412	256
90	03df2fba88fa0db4	391	256
91	40820c84650a3ce9	22	256
92	1d32c9185c543a7a	101	256
93	8bd3bf6e606224a5	11	256
94	6a0fb44e7d07da34	677	256
95	0870a559a660b98b	737	256
96	a8e1614a634ba8d8	116	256
97	2368308e6a14c904	91	256
98	e8e453458e0cfec3	66	256
99	a9340d359322d02b	221	256
100	25fd58bad80a0def	35	256
101	7e1e66c77fcfcc50	78	256
102	045339a67c6e3031	11	256
103	30477e50ab993363	15	256
104	73eef4cc5bdc96e2	9	256
105	e5dbfc5b4e41fb86	44	256
106	52285ad3e1473ef8	445	256
107	9e784c714c15a929	305	256
108	2e40e169a00219c0	30	256
109	f81cc99dff704a56	799	256
110	671b13da1e704fd7	69	256
111	970dfb152007661d	10	256
112	8dcbb43b4f714ddf	43	256
113	85560ea323d6aa27	9	256
114	0821c5bb1691adae	1379	256
115	b4dacedcb63fbb3b	618	256
116	ed47be6b578ec337	341	256
117	9ef44f21b2d4069d	190	256
118	a89f5d5f2cabcd57	147	256
119	655969586e98996a	360	256
120	477ccaf5ccaf2021	57	256
121	b4f41b22e40cc647	40	256
122	3a10cad88c0e1c79	46	256
123	04b3b6a76c29971f	39	256
124	df743ba7456a1572	722	256
125	ba511b22b3d882d9	771	256
126	785f97771a81e643	23	256
127	721c13d283e51ebd	767	256
128	abc4bc90358d1be1	73	256
129	0f84599872c0dfa0	711	256
130	82859b2c00ee7257	13	256
131	a27e12015e70678d	484	256
132	b9c78643fc158ff9	54	256
133	f22329b0fe1f6800	18	256
134	44b8621addc2ebfd	1001	256
135	559687165dfd316b	1048	256
136	4b312c711fea9311	359	256
137	f2e3baa08b2afa6c	76	256
138	2168c49b9e1ac6df	32	256
139	5b9ed9f841805e93	22	256
140	3a20f924ebc4c150	9	256
141	01419b73c147bcf1	28	256
142	c11d2b6fbe4ff643	60	256
143	b17aafcadfd02d06	31	256
144	9db7165d3827e84d	48	256
145	332180f6dff1c2d7	75	256
146	f20987efd8da957a	38	256
147	5c4767aef81b77e6	11	256
148	764ebdf5e91e4251	52	256
149	c23f464b2157a68c	28	256
150	dbb8fbd4c10e8892	30	256
151	b286e93d3e32f304	757	256
152	77fe1638527938c0	25	256
153	786385d8304bdca3	12	256
154	71b4d5a23b54770f	52	256
155	b8b562300d09eb1c	14	256
156	c29c7d1717c58cba	734	256
157	beba9b39defbfb4f	15	256
158	bf57f42dca1c2882	779	256
159	95eae7dad335d611	679	256
160	9a29c699e07257d1	35	256
161	a9af7bf6eb484856	1086	256
162	1153dd86d8406d85	76	256
163	1bb48e69674c1fbe	540	256
164	1bc7e8db0b23f5a3	11	256
165	b94ef545394e1fe9	602	256
166	b4ea1e6a14b3b76e	534	256
167	e59f8a35769cd146	160	256
168	6ba2420426bebed2	908	256
169	8a87a2dc4ac12a90	25	256
170	e3b3298b32f27eaa	767	256
171	87d33e4029b8e96f	728	256
172	786a70bb2d54eaae	82	256
173	f390bf1012163192	643	256
174	b867a9e638ca31cb	36	256
175	148a465affa6c1e4	464	256
176	6859eab0476776dd	41	256
177	3242125c6dc5c3d5	723	256
178	989a7a6b2a4df0b1	334	256
179	02da175ae53d37cd	71	256
180	c3b8fe14fa97b5ad	26	256
181	5d7c49cf532f48c6	64	256
182	5ba57e4a0d36bea2	15	256
