tag	pass	dataset	conc	serial_lo	serial_hi	warmups	catfile	rc	container	n_req	t0	t1
A-sharegpt-c1	A	sharegpt	1	0	433	0	-	0	cells/container-A-sharegpt-c1.log	400	2026-09-25T21:25:54+00:00	2026-09-25T21:32:29+00:00
A-sharegpt-c2	A	sharegpt	2	0	428	0	-	0	cells/container-A-sharegpt-c2.log	400	2026-09-25T21:32:48+00:00	2026-09-25T21:37:39+00:00
A-sharegpt-c4	A	sharegpt	4	0	425	0	-	0	cells/container-A-sharegpt-c4.log	400	2026-09-25T21:37:58+00:00	2026-09-25T21:41:42+00:00
A-sharegpt-c8	A	sharegpt	8	0	427	0	-	0	cells/container-A-sharegpt-c8.log	400	2026-09-25T21:42:02+00:00	2026-09-25T21:45:14+00:00
A-specbench-c1	A	specbench	1	0	522	0	-	0	cells/container-A-specbench-c1.log	480	2026-09-25T21:45:32+00:00	2026-09-25T21:54:07+00:00
A-specbench-c2	A	specbench	2	0	513	0	-	0	cells/container-A-specbench-c2.log	480	2026-09-25T21:54:26+00:00	2026-09-25T22:00:37+00:00
A-specbench-c4	A	specbench	4	0	509	0	-	0	cells/container-A-specbench-c4.log	480	2026-09-25T22:00:56+00:00	2026-09-25T22:05:43+00:00
A-specbench-c8	A	specbench	8	0	511	0	-	0	cells/container-A-specbench-c8.log	480	2026-09-25T22:06:05+00:00	2026-09-25T22:10:10+00:00
B-sharegpt-c1	B	sharegpt	1	0	433	0	-	0	cells/container-B-sharegpt-c1.log	400	2026-09-25T22:10:29+00:00	2026-09-25T22:17:01+00:00
B-sharegpt-c2	B	sharegpt	2	0	427	0	-	0	cells/container-B-sharegpt-c2.log	400	2026-09-25T22:17:20+00:00	2026-09-25T22:22:09+00:00
B-sharegpt-c4	B	sharegpt	4	0	425	0	-	0	cells/container-B-sharegpt-c4.log	400	2026-09-25T22:22:30+00:00	2026-09-25T22:26:15+00:00
B-sharegpt-c8	B	sharegpt	8	0	427	0	-	0	cells/container-B-sharegpt-c8.log	400	2026-09-25T22:26:34+00:00	2026-09-25T22:29:46+00:00
B-specbench-c1	B	specbench	1	0	521	0	-	0	cells/container-B-specbench-c1.log	480	2026-09-25T22:30:04+00:00	2026-09-25T22:38:40+00:00
B-specbench-c2	B	specbench	2	0	513	0	-	0	cells/container-B-specbench-c2.log	480	2026-09-25T22:38:56+00:00	2026-09-25T22:45:08+00:00
B-specbench-c4	B	specbench	4	0	509	0	-	0	cells/container-B-specbench-c4.log	480	2026-09-25T22:45:27+00:00	2026-09-25T22:50:13+00:00
B-specbench-c8	B	specbench	8	0	511	0	-	0	cells/container-B-specbench-c8.log	480	2026-09-25T22:50:33+00:00	2026-09-25T22:54:39+00:00
